20,1,4,"{-2.58116558781820900,0.22410243779836336,0.41667247400908075,-3.11618012243457130,1.61313335490628600,0.93386705071500280}","{0.09646715002805355,0.60589849028684720,0.013347225399680024,11.28781492414063500}",2026-01-05 12:03:00.678787 +00:00
21,1,5,"{-3.29766136469432200,0.75653025569431580,0.72526878695866370,-0.72219011083032000,1.23915852667917380,0.71932748294347740}","{0.19122425587613787,0.14007480482606110,-0.08626554880759901,11.22282922245250900}",2026-01-05 12:03:00.678787 +00:00
22,1,6,"{-3.47327982657859500,1.06181762743807680,1.07049953093908970,-0.21862307783542820,0.39630953623383250,1.13012293123737660}","{0.03097308820825164,0.13482582535533075,0.05502092682253357,11.81431717110089000}",2026-01-05 12:03:00.678787 +00:00
23,1,7,"{-3.44304773850710200,1.19039803784391540,1.62422753384256930,0.38058069250414145,0.29251409094030320,1.83627708431697930}","{-0.13602973124611145,0.023760650168957655,-0.12989529419227010,9.98878450152619600}",2026-01-05 12:03:00.678787 +00:00
24,1,8,"{-3.27248909283873600,1.39108511924247560,2.31560510599095700,0.53312633786210500,0.78259527369484020,1.86753133790652730}","{0.032305479035592846,0.60072845841116940,0.05348872102974149,9.71535357016414700}",2026-01-05 12:03:00.678787 +00:00
25,1,9,"{-2.69033343272030500,1.68186627169119800,2.88739404225022330,2.58556469848663360,0.77516090013760160,1.19562367776811350}","{-0.17756270265497182,0.06806587652888715,-0.24775636572469803,11.93119319996822000}",2026-01-05 12:03:00.678787 +00:00
26,1,10,"{-1.63507825477979860,2.09998899906798140,3.46661560975006950,3.06758804048036460,1.46478228223802360,1.90734900526677760}","{-0.04530789718973720,0.07890476222924327,-0.13471667878587718,11.04892400152256300}",2026-01-05 12:03:00.678787 +00:00
27,1,11,"{-0.42508039298703320,2.67325639940931900,4.26184837340405900,3.41454336198088050,1.60629307673342740,2.35282651430816600}","{-0.04407699495535913,0.04796132981500006,0.015277370845742684,7.86786154014956300}",2026-01-05 12:03:00.678787 +00:00
28,1,12,"{0.87557202173264390,3.29749722610091500,5.00372904369838400,3.55323743116024800,1.73785420911440850,1.62153421941143200}","{0.05516466892329705,-0.41602763717782720,0.11307557095269000,9.09559396362284600}",2026-01-05 12:03:00.678787 +00:00
29,1,13,"{1.95191789658913130,3.88271019325183200,5.50436622070262600,2.21290118414236450,1.39721525776550770,1.06045065739700450}","{0.029506332906431402,0.19901494550855756,-0.19786562367979216,7.26890851282431400}",2026-01-05 12:03:00.678787 +00:00
30,1,14,"{2.87328235660333300,4.37000571485366200,5.71296718890482800,2.72297985164800330,1.21329646510143860,0.05705452940050673}","{0.15327044200755205,0.08413110727006800,-0.16749542116544078,11.15823109928424000}",2026-01-05 12:03:00.678787 +00:00
31,1,15,"{3.93374351458846900,4.69514746337871900,5.81639036691353200,2.95806206612951000,0.52853433056850620,0.49699820993183497}","{0.24881567332456772,-0.65184910828095950,-0.23360558159841570,11.56406419164947500}",2026-01-05 12:03:00.678787 +00:00
32,2,2,"{-0.34828586278059326,0.39620641186069940,0.029371240722786573,-0.79438855061032100,1.05110577782517530,0.15734593244349948}","{-0.13605605341346770,-0.13604801868934627,-0.054811724044942146,11.82357629608460800}",2026-01-05 12:03:00.694358 +00:00
33,2,3,"{-0.74929006492625050,0.90627800489139450,0.21327964094399960,-1.35384824659855770,1.68142061341069200,0.82787764017014190}","{-0.13089032362638195,0.33255865692658330,0.07472688015160106,11.08571178049172600}",2026-01-05 12:03:00.694358 +00:00
34,2,4,"{-1.01290076381293410,1.65322611703386700,0.56268266752911770,-0.05835192600867662,2.32008713020969600,1.04392428796441950}","{0.0024771377248194977,-0.17195848110012849,0.02939403575715555,11.78415428858923000}",2026-01-05 12:03:00.694358 +00:00
35,2,5,"{-1.17508617384336820,2.51322868352395550,1.07787673681924720,-0.81049848486864900,2.28706947598720860,1.71604394037556120}","{0.15637155153812388,-0.007527240776915782,0.10539090960936859,11.40184968943053300}",2026-01-05 12:03:00.694358 +00:00
36,2,6,"{-1.47053007872959560,3.24338873823788280,1.81975033376884990,-0.77223671987899760,1.62450224569454480,2.25827890042588100}","{0.05156928209972354,0.30707481126396120,-0.00915581356166441,10.50623942880729800}",2026-01-05 12:03:00.694358 +00:00
37,2,7,"{-1.53816718331858680,3.81010692132829080,2.67618398891089700,0.40989508815225900,1.41148802086121200,2.32975853783508670}","{0.20886473656671034,0.24062252337104706,0.21430278398436470,10.71263956905279500}",2026-01-05 12:03:00.694358 +00:00
38,2,8,"{-1.18215854827244950,4.22281922322352800,3.57159873964868440,1.49729402816633360,0.79947073929184290,2.46710619826020200}","{0.06309873534823511,0.58301158243895770,0.15684573275568400,11.34169393800432600}",2026-01-05 12:03:00.694358 +00:00
39,2,9,"{-0.18643865841214710,4.53989593207275200,4.46751491072597800,3.83691966751385840,0.89915448668614420,2.33244471822530080}","{0.23287318462684978,0.011394130985315956,-0.09009959096871153,7.71139921796995150}",2026-01-05 12:03:00.694358 +00:00
40,2,10,"{1.24078613228515460,4.75152951408015300,5.17750535729499300,3.80892742550740100,0.23459684549636256,1.47107553125156500}","{-0.028288573485428098,-0.17745517290743915,0.23634717204656280,7.51559545234224100}",2026-01-05 12:03:00.694358 +00:00
41,2,11,"{2.56946741917824230,4.83187464132868200,5.55838115551332100,3.30900803999128300,0.19582347904932654,0.56933053063233910}","{-0.06414021040801876,-0.20412263491316116,0.10798780409031755,10.96645407120326400}",2026-01-05 12:03:00.694358 +00:00
42,2,12,"{3.64585239024799270,4.93701926049369600,5.83411812904692350,2.45734001931095230,0.36745126647753620,0.90783182758338940}","{0.04579889266170234,-0.55041573061702320,0.02118141742544859,11.77742996278233900}",2026-01-05 12:03:00.694358 +00:00
43,2,13,"{4.13531200054924050,5.02755017205513300,6.18819670263965700,0.16476503587430540,0.11753575974444862,0.98901767380625440}","{-0.09999467634160536,-0.09695944038796384,0.25878812178160110,11.98412527282303200}",2026-01-05 12:03:00.694358 +00:00
44,2,14,"{4.09772128398557800,5.13143957187482600,6.70086740524186900,-0.36614387460821000,0.43901459643247440,1.75743251870559320}","{0.007917223989816837,-0.19751268580652500,-0.02473357212357152,10.44752235296912500}",2026-01-05 12:03:00.694358 +00:00
45,2,15,"{3.81806207399905070,5.29310907727594300,7.38722591760733050,-1.13203046460533030,0.42707203964494140,1.91948808325223600}","{0.017446802158298247,0.57197152212684290,-0.18114946834046217,9.16459932292124400}",2026-01-05 12:03:00.694358 +00:00
46,3,1,"{-0.20000000000000000,0.00000000000000000,-0.20000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000}","{-0.039416963380463486,-0.37619614407270750,-0.04045131306364156,11.07186074436396700}",2026-01-05 12:03:00.733883 +00:00
47,3,2,"{-0.48178771612189520,0.04183548722887152,-0.16657762259636943,-1.50957705065301020,0.22411868158324028,0.17904845037659245}","{0.15613570084751346,0.13155568225058367,0.12835497445832122,11.97769594117377400}",2026-01-05 12:03:00.733883 +00:00
48,3,3,"{-0.92147547939558930,0.010619846813730691,0.03405265918008545,-0.84589310974178030,-0.39134532666435190,0.89575663056870170}","{-0.11511655891726934,0.12197514909648068,-0.14695884844303686,11.55421496648126300}",2026-01-05 12:03:00.733883 +00:00
49,3,4,"{-1.12745900827218900,-0.05824301857465967,0.47874873143132670,-0.25759008066857486,0.022437119226546405,1.48654375649151920}","{-0.03878198439449835,-0.19815142282849090,-0.22349985577001077,10.94112522759149400}",2026-01-05 12:03:00.733883 +00:00
50,3,5,"{-1.36332890263647880,0.012204516485252467,1.09706983377998450,-1.00599863914012060,0.35496039002298296,1.82589072037629090}","{-0.20776049132796695,0.26361905490041726,0.22565782263235820,11.43396377220972200}",2026-01-05 12:03:00.733883 +00:00
51,3,6,"{-1.57766023128751900,0.35037365328924136,1.84783699328644050,-0.14220490720473816,1.45665998571267200,2.19607620555115360}","{-0.11834840420879324,-0.08373210095002034,0.17015617816157774,8.83750308702834400}",2026-01-05 12:03:00.733883 +00:00
52,3,7,"{-1.69347321004698630,0.95719988116511130,2.59348254356091570,-0.47822176472097894,1.79419480647948930,1.79845352806210570}","{-0.25998603962335576,-0.13612637597789354,-0.25040562660701804,8.10673644640309000}",2026-01-05 12:03:00.733883 +00:00
53,3,8,"{-1.90780178530500000,1.78609252755132180,3.12217006137771720,-0.66996703130409450,2.64630151344663800,1.03380103167076070}","{0.16237586264247260,0.33780251018650770,-0.20068413868752866,10.59085415288642400}",2026-01-05 12:03:00.733883 +00:00
54,3,9,"{-1.94516426165679410,2.60900355727763800,3.51166788847979830,0.46981090799091130,1.76215043151577300,1.05279447066181770}","{-0.13926210605605660,0.16520510231378216,-0.15551527354920255,11.44889633543641800}",2026-01-05 12:03:00.733883 +00:00
55,3,10,"{-1.62424028397469630,3.35616290100638400,4.00044169897242200,1.24942468673461330,2.24048890988822400,1.56563665697723530}","{0.19164253061496136,0.62819500779700610,-0.26179938779914946,11.26888421304358400}",2026-01-05 12:03:00.733883 +00:00
56,3,11,"{-0.75887109553065810,3.93086549091044000,4.52505677846715600,3.38648167992987760,0.83827496459779170,1.24480126888741100}","{-0.21762281826740498,0.30907778186133145,-0.06823523043947854,9.48341613639260700}",2026-01-05 12:03:00.733883 +00:00
57,3,12,"{0.71097538795606930,4.37279797721375500,4.92085734513012500,4.48769591017759150,1.52922049774139150,0.87555890966421030}","{0.16528663392565687,-0.16763553679415025,0.11248726780582655,10.95942125438417700}",2026-01-05 12:03:00.733883 +00:00
58,3,13,"{2.27558596858223100,4.80472811497128600,5.30686528813904000,3.89414648603399000,0.78469095453109500,1.19234078502640540}","{0.11060922257796442,-0.31088947294519265,-0.10114106477573333,11.12689616314553500}",2026-01-05 12:03:00.733883 +00:00
59,3,14,"{3.48620708170943730,5.03632687552098500,5.80209521685295650,2.59132376286175830,0.45601669127086625,1.46067669022671830}","{0.030926212299833878,-0.56626649037368080,-0.15161387016481884,7.76484700476804600}",2026-01-05 12:03:00.733883 +00:00
60,3,15,"{4.16427020991976500,5.23385763686007300,6.12020763894426800,1.04115728112214210,0.60218381590281530,0.24349699954816310}","{0.07847444732455323,-0.37020126476778764,-0.09793658530528357,9.48266962134818700}",2026-01-05 12:03:00.733883 +00:00
136,9,1,"{-0.20000000000000000,0.20000000000000000,0.20000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000}","{0.15680179952230927,-0.42653563291523340,-0.21149827415569720,11.13102593254012800}",2026-01-05 12:03:02.585624 +00:00
